"Nível";"Cód.";"Brasil e Município";"Grupo de idade";"Católica Apostólica Romana";"Evangélicas";"Espírita";"Umbanda e Candomblé";"Tradições indígenas";"Outras religiosidades";"Sem religião";"Não sabe";"Sem declaração"
"MU";"1100015";"Alta Floresta D'Oeste (RO)";"Total";"9252";"6570";"79";"-";"-";"590";"1909";"-";"8"
"MU";"1100023";"Ariquemes (RO)";"Total";"28234";"34966";"375";"152";"27";"3603";"15160";"-";"95"
"MU";"1100031";"Cabixi (RO)";"Total";"2652";"1700";"-";"4";"-";"105";"201";"-";"7"
"MU";"1100049";"Cacoal (RO)";"Total";"29034";"32480";"712";"129";"14";"3161";"9376";"28";"328"
"MU";"1100056";"Cerejeiras (RO)";"Total";"6781";"5396";"22";"9";"4";"217";"1143";"4";"-"
"MU";"1100064";"Colorado do Oeste (RO)";"Total";"7565";"4891";"32";"-";"-";"177";"950";"-";"11"
"MU";"1100072";"Corumbiara (RO)";"Total";"3749";"2233";"-";"2";"6";"31";"443";"-";"-"
"MU";"1100080";"Costa Marques (RO)";"Total";"5127";"4213";"17";"10";"-";"152";"992";"17";"-"
"MU";"1100098";"Espigão D'Oeste (RO)";"Total";"8734";"12362";"20";"-";"1";"501";"3166";"-";"382"
"MU";"1100106";"Guajará-Mirim (RO)";"Total";"14522";"13104";"113";"70";"-";"924";"3481";"139";"136"
"MU";"1100114";"Jaru (RO)";"Total";"18474";"19728";"55";"65";"18";"1107";"3704";"-";"140"
"MU";"1100122";"Ji-Paraná (RO)";"Total";"35565";"48659";"416";"75";"232";"4782";"15905";"372";"390"
"MU";"1100130";"Machadinho D'Oeste (RO)";"Total";"7950";"12278";"30";"-";"-";"722";"4890";"-";"10"
"MU";"1100148";"Nova Brasilândia D'Oeste (RO)";"Total";"6739";"5212";"-";"12";"-";"321";"1342";"-";"-"
"MU";"1100155";"Ouro Preto do Oeste (RO)";"Total";"12831";"11520";"108";"72";"-";"707";"5148";"-";"31"
"MU";"1100189";"Pimenta Bueno (RO)";"Total";"13272";"12446";"79";"19";"-";"778";"3485";"12";"27"
"MU";"1100205";"Porto Velho (RO)";"Total";"158549";"151530";"4005";"2631";"250";"22917";"51216";"317";"582"
"MU";"1100254";"Presidente Médici (RO)";"Total";"8568";"6608";"16";"-";"-";"529";"1089";"-";"-"
"MU";"1100262";"Rio Crespo (RO)";"Total";"1203";"1316";"7";"-";"-";"49";"368";"-";"36"
"MU";"1100288";"Rolim de Moura (RO)";"Total";"18282";"19878";"218";"65";"-";"853";"9008";"-";"176"
"MU";"1100296";"Santa Luzia D'Oeste (RO)";"Total";"3324";"2415";"3";"3";"-";"105";"627";"-";"3"
"MU";"1100304";"Vilhena (RO)";"Total";"32407";"34111";"681";"271";"21";"5172";"8918";"5";"146"
"MU";"1100320";"São Miguel do Guaporé (RO)";"Total";"8264";"7456";"31";"-";"-";"416";"2204";"-";"4"
"MU";"1100338";"Nova Mamoré (RO)";"Total";"8567";"8937";"50";"7";"-";"652";"2705";"-";"153"
"MU";"1100346";"Alvorada D'Oeste (RO)";"Total";"6300";"4020";"13";"-";"35";"154";"819";"-";"46"
"MU";"1100379";"Alto Alegre dos Parecis (RO)";"Total";"4686";"3984";"5";"5";"-";"87";"971";"-";"6"
"MU";"1100403";"Alto Paraíso (RO)";"Total";"6976";"5247";"88";"36";"-";"211";"1253";"-";"92"
"MU";"1100452";"Buritis (RO)";"Total";"8807";"10798";"75";"20";"-";"452";"3556";"-";"-"
"MU";"1100502";"Novo Horizonte do Oeste (RO)";"Total";"3349";"2919";"-";"-";"-";"56";"362";"-";"5"
"MU";"1100601";"Cacaulândia (RO)";"Total";"1746";"1265";"-";"-";"-";"65";"466";"-";"3"
"MU";"1100700";"Campo Novo de Rondônia (RO)";"Total";"3099";"3528";"14";"14";"-";"206";"656";"-";"-"
"MU";"1100809";"Candeias do Jamari (RO)";"Total";"6359";"8525";"83";"10";"39";"679";"2854";"-";"42"
"MU";"1100908";"Castanheiras (RO)";"Total";"1411";"1021";"-";"3";"-";"67";"300";"3";"-"
"MU";"1100924";"Chupinguaia (RO)";"Total";"3586";"2884";"10";"-";"1";"101";"1191";"-";"-"
"MU";"1100940";"Cujubim (RO)";"Total";"4249";"5021";"7";"7";"-";"345";"2727";"-";"-"
"MU";"1101005";"Governador Jorge Teixeira (RO)";"Total";"3719";"2366";"11";"4";"75";"116";"539";"6";"27"
"MU";"1101104";"Itapuã do Oeste (RO)";"Total";"2338";"2874";"13";"19";"-";"161";"1672";"-";"15"
"MU";"1101203";"Ministro Andreazza (RO)";"Total";"2820";"2385";"-";"-";"-";"70";"439";"-";"6"
"MU";"1101302";"Mirante da Serra (RO)";"Total";"3314";"3530";"-";"-";"108";"130";"932";"-";"5"
"MU";"1101401";"Monte Negro (RO)";"Total";"4280";"4202";"11";"6";"-";"173";"1270";"-";"-"
"MU";"1101435";"Nova União (RO)";"Total";"2757";"2065";"-";"2";"-";"52";"534";"-";"-"
"MU";"1101450";"Parecis (RO)";"Total";"1622";"1502";"-";"-";"22";"198";"170";"-";"12"
"MU";"1101468";"Pimenteiras do Oeste (RO)";"Total";"1106";"502";"-";"-";"9";"26";"157";"-";"-"
"MU";"1101476";"Primavera de Rondônia (RO)";"Total";"1482";"888";"13";"-";"-";"66";"186";"-";"4"
"MU";"1101484";"São Felipe D'Oeste (RO)";"Total";"2647";"1586";"-";"-";"-";"31";"382";"-";"-"
"MU";"1101492";"São Francisco do Guaporé (RO)";"Total";"5861";"6042";"-";"7";"11";"226";"1500";"-";"23"
"MU";"1101500";"Seringueiras (RO)";"Total";"4731";"3826";"17";"-";"-";"83";"846";"5";"9"
"MU";"1101559";"Teixeirópolis (RO)";"Total";"1647";"1578";"-";"5";"-";"57";"393";"-";"26"
"MU";"1101609";"Theobroma (RO)";"Total";"3134";"2755";"25";"-";"-";"150";"995";"-";"-"
"MU";"1101708";"Urupá (RO)";"Total";"4201";"4115";"12";"-";"-";"240";"645";"-";"58"
"MU";"1101757";"Vale do Anari (RO)";"Total";"2980";"3072";"16";"-";"-";"141";"460";"-";"6"
"MU";"1101807";"Vale do Paraíso (RO)";"Total";"2817";"1956";"3";"-";"-";"39";"870";"-";"-"
"MU";"1200013";"Acrelândia (AC)";"Total";"4228";"5522";"27";"6";"-";"392";"1230";"27";"-"
"MU";"1200054";"Assis Brasil (AC)";"Total";"2630";"2672";"8";"-";"4";"188";"889";"-";"3"
"MU";"1200104";"Brasiléia (AC)";"Total";"9203";"8223";"23";"31";"10";"970";"2927";"-";"-"
"MU";"1200138";"Bujari (AC)";"Total";"3103";"5687";"54";"20";"-";"315";"1443";"-";"5"
"MU";"1200179";"Capixaba (AC)";"Total";"2797";"3939";"23";"-";"-";"331";"1505";"-";"-"
"MU";"1200203";"Cruzeiro do Sul (AC)";"Total";"34991";"33970";"227";"88";"541";"1214";"4570";"-";"40"
"MU";"1200252";"Epitaciolândia (AC)";"Total";"6765";"5861";"40";"4";"13";"764";"1935";"-";"21"
"MU";"1200302";"Feijó (AC)";"Total";"12845";"10941";"46";"8";"1352";"612";"1852";"2";"85"
"MU";"1200328";"Jordão (AC)";"Total";"4321";"1577";"74";"-";"1";"256";"350";"-";"50"
"MU";"1200336";"Mâncio Lima (AC)";"Total";"7760";"6924";"32";"5";"57";"191";"554";"17";"76"
"MU";"1200344";"Manoel Urbano (AC)";"Total";"2856";"4953";"-";"-";"16";"100";"1553";"11";"-"
"MU";"1200351";"Marechal Thaumaturgo (AC)";"Total";"7262";"5414";"35";"-";"41";"241";"116";"-";"23"
"MU";"1200385";"Plácido de Castro (AC)";"Total";"5530";"6147";"6";"14";"-";"469";"1471";"-";"-"
"MU";"1200393";"Porto Walter (AC)";"Total";"5539";"2611";"-";"-";"3";"-";"101";"-";"-"
"MU";"1200401";"Rio Branco (AC)";"Total";"94191";"145478";"2835";"1279";"21";"18680";"45820";"39";"382"
"MU";"1200427";"Rodrigues Alves (AC)";"Total";"5317";"5979";"5";"12";"16";"219";"474";"-";"-"
"MU";"1200435";"Santa Rosa do Purus (AC)";"Total";"1496";"2294";"6";"2";"354";"451";"206";"-";"-"
"MU";"1200450";"Senador Guiomard (AC)";"Total";"6781";"8568";"23";"88";"-";"659";"1784";"-";"9"
"MU";"1200500";"Sena Madureira (AC)";"Total";"17932";"12523";"13";"27";"5";"602";"2802";"-";"9"
"MU";"1200609";"Tarauacá (AC)";"Total";"18646";"11167";"234";"10";"749";"783";"2369";"-";"53"
"MU";"1200708";"Xapuri (AC)";"Total";"7252";"6227";"24";"4";"6";"262";"1240";"-";"-"
"MU";"1200807";"Porto Acre (AC)";"Total";"4883";"6923";"58";"29";"-";"305";"1416";"-";"115"
"MU";"1300029";"Alvarães (AM)";"Total";"6662";"4962";"5";"-";"-";"95";"365";"19";"6"
"MU";"1300060";"Amaturá (AM)";"Total";"3308";"3333";"-";"6";"29";"1310";"80";"-";"2"
"MU";"1300086";"Anamã (AM)";"Total";"4449";"3093";"-";"8";"-";"89";"259";"-";"-"
"MU";"1300102";"Anori (AM)";"Total";"6515";"6666";"42";"1";"-";"119";"335";"-";"24"
"MU";"1300144";"Apuí (AM)";"Total";"8630";"6484";"6";"-";"-";"352";"1562";"16";"-"
"MU";"1300201";"Atalaia do Norte (AM)";"Total";"2919";"2709";"10";"11";"2102";"470";"2959";"-";"115"
"MU";"1300300";"Autazes (AM)";"Total";"12317";"15857";"32";"12";"10";"1033";"3146";"9";"131"
"MU";"1300409";"Barcelos (AM)";"Total";"7068";"3766";"7";"13";"2918";"201";"202";"-";"60"
"MU";"1300508";"Barreirinha (AM)";"Total";"17497";"5906";"8";"8";"-";"450";"343";"-";"35"
"MU";"1300607";"Benjamin Constant (AM)";"Total";"13276";"10545";"28";"28";"152";"3470";"900";"2";"71"
"MU";"1300631";"Beruri (AM)";"Total";"6495";"8139";"-";"-";"32";"458";"622";"-";"-"
"MU";"1300680";"Boa Vista do Ramos (AM)";"Total";"13997";"4292";"20";"16";"-";"161";"281";"6";"-"
"MU";"1300706";"Boca do Acre (AM)";"Total";"12142";"12982";"48";"14";"55";"1051";"2883";"-";"39"
"MU";"1300805";"Borba (AM)";"Total";"15223";"9790";"-";"18";"1";"438";"639";"26";"13"
"MU";"1300839";"Caapiranga (AM)";"Total";"4248";"5304";"-";"-";"-";"243";"1070";"3";"-"
"MU";"1300904";"Canutama (AM)";"Total";"7789";"5354";"3";"5";"11";"89";"523";"103";"17"
"MU";"1301001";"Carauari (AM)";"Total";"10344";"10648";"9";"1";"115";"148";"1451";"13";"10"
"MU";"1301100";"Careiro (AM)";"Total";"9765";"12543";"29";"79";"-";"649";"1964";"-";"54"
"MU";"1301159";"Careiro da Várzea (AM)";"Total";"7914";"7057";"-";"-";"-";"81";"1026";"6";"37"
"MU";"1301209";"Coari (AM)";"Total";"28653";"24405";"60";"12";"25";"757";"2112";"11";"26"
"MU";"1301308";"Codajás (AM)";"Total";"9069";"8926";"10";"-";"-";"120";"534";"-";"31"
"MU";"1301407";"Eirunepé (AM)";"Total";"16006";"8206";"13";"-";"413";"291";"1041";"15";"35"
"MU";"1301506";"Envira (AM)";"Total";"7750";"4341";"102";"-";"145";"299";"642";"17";"22"
"MU";"1301605";"Fonte Boa (AM)";"Total";"12138";"7322";"-";"-";"29";"110";"506";"-";"9"
"MU";"1301654";"Guajará (AM)";"Total";"6149";"4129";"33";"5";"-";"59";"684";"-";"-"
"MU";"1301704";"Humaitá (AM)";"Total";"30438";"12005";"39";"57";"1084";"819";"1802";"28";"10"
"MU";"1301803";"Ipixuna (AM)";"Total";"12809";"3738";"8";"1";"82";"241";"1454";"6";"63"
"MU";"1301852";"Iranduba (AM)";"Total";"18053";"23749";"75";"222";"22";"3633";"4089";"84";"111"
"MU";"1301902";"Itacoatiara (AM)";"Total";"40135";"34966";"94";"87";"27";"1933";"7532";"87";"103"
"MU";"1301951";"Itamarati (AM)";"Total";"3811";"3245";"-";"9";"702";"70";"265";"-";"47"
"MU";"1302009";"Itapiranga (AM)";"Total";"3558";"4099";"-";"7";"-";"48";"523";"-";"-"
"MU";"1302108";"Japurá (AM)";"Total";"2730";"2996";"-";"-";"8";"50";"716";"2";"36"
"MU";"1302207";"Juruá (AM)";"Total";"2872";"4153";"-";"-";"242";"182";"960";"-";"-"
"MU";"1302306";"Jutaí (AM)";"Total";"7220";"8028";"-";"35";"61";"1106";"1698";"116";"296"
"MU";"1302405";"Lábrea (AM)";"Total";"19880";"12325";"12";"2";"55";"858";"2963";"10";"50"
"MU";"1302504";"Manacapuru (AM)";"Total";"30373";"42665";"106";"20";"71";"2919";"6199";"37";"14"
"MU";"1302553";"Manaquiri (AM)";"Total";"5903";"6529";"-";"10";"-";"328";"1001";"-";"6"
"MU";"1302603";"Manaus (AM)";"Total";"772057";"686969";"10898";"9276";"381";"104004";"153902";"1437";"829"
"MU";"1302702";"Manicoré (AM)";"Total";"26929";"12871";"62";"23";"13";"355";"2173";"11";"21"
"MU";"1302801";"Maraã (AM)";"Total";"5455";"5430";"-";"-";"2";"43";"597";"7";"38"
"MU";"1302900";"Maués (AM)";"Total";"31027";"14391";"-";"17";"-";"440";"898";"43";"47"
"MU";"1303007";"Nhamundá (AM)";"Total";"13076";"2712";"-";"-";"-";"71";"23";"-";"-"
"MU";"1303106";"Nova Olinda do Norte (AM)";"Total";"11532";"8597";"-";"26";"-";"390";"398";"20";"9"
"MU";"1303205";"Novo Airão (AM)";"Total";"4771";"5323";"42";"-";"208";"453";"1582";"19";"-"
"MU";"1303304";"Novo Aripuanã (AM)";"Total";"10803";"6832";"-";"14";"-";"181";"1213";"-";"94"
"MU";"1303403";"Parintins (AM)";"Total";"57839";"17601";"109";"180";"-";"838";"1996";"11";"22"
"MU";"1303502";"Pauini (AM)";"Total";"8411";"5412";"11";"12";"51";"529";"578";"-";"44"
"MU";"1303536";"Presidente Figueiredo (AM)";"Total";"8575";"12421";"57";"37";"369";"1429";"2124";"17";"38"
"MU";"1303569";"Rio Preto da Eva (AM)";"Total";"6953";"10313";"-";"12";"-";"670";"2353";"17";"-"
"MU";"1303601";"Santa Isabel do Rio Negro (AM)";"Total";"7172";"1771";"4";"-";"1253";"67";"27";"-";"241"
"MU";"1303700";"Santo Antônio do Içá (AM)";"Total";"5757";"10588";"-";"6";"30";"2766";"1631";"28";"68"
"MU";"1303809";"São Gabriel da Cachoeira (AM)";"Total";"25174";"11380";"40";"35";"34";"473";"836";"41";"1258"
"MU";"1303908";"São Paulo de Olivença (AM)";"Total";"8917";"12529";"-";"-";"-";"1760";"573";"42";"128"
"MU";"1303957";"São Sebastião do Uatumã (AM)";"Total";"3362";"4389";"-";"8";"-";"214";"1104";"-";"-"
"MU";"1304005";"Silves (AM)";"Total";"5544";"3101";"-";"5";"-";"66";"330";"-";"16"
"MU";"1304062";"Tabatinga (AM)";"Total";"20693";"22164";"56";"44";"22";"4799";"2927";"288";"8"
"MU";"1304104";"Tapauá (AM)";"Total";"4719";"9418";"-";"-";"400";"133";"699";"80";"68"
"MU";"1304203";"Tefé (AM)";"Total";"24343";"28402";"73";"34";"11";"1392";"3424";"7";"36"
"MU";"1304237";"Tonantins (AM)";"Total";"8191";"4418";"-";"5";"-";"921";"109";"-";"638"
"MU";"1304260";"Uarini (AM)";"Total";"4859";"5304";"-";"43";"-";"66";"967";"-";"15"
"MU";"1304302";"Urucará (AM)";"Total";"9615";"5047";"8";"4";"-";"266";"327";"15";"4"
"MU";"1304401";"Urucurituba (AM)";"Total";"12529";"5351";"-";"-";"-";"114";"1643";"4";"31"
"MU";"1400027";"Amajari (RR)";"Total";"3154";"2634";"-";"12";"2540";"257";"1402";"-";"11"
"MU";"1400050";"Alto Alegre (RR)";"Total";"4461";"3153";"21";"7";"3588";"419";"3575";"-";"12"
"MU";"1400100";"Boa Vista (RR)";"Total";"123634";"116682";"2953";"1384";"133";"32348";"61022";"472";"865"
"MU";"1400159";"Bonfim (RR)";"Total";"5316";"3384";"11";"44";"16";"1118";"412";"4";"25"
"MU";"1400175";"Cantá (RR)";"Total";"6965";"5102";"69";"48";"-";"498";"1864";"-";"38"
"MU";"1400209";"Caracaraí (RR)";"Total";"6711";"6406";"21";"10";"459";"370";"2354";"-";"43"
"MU";"1400233";"Caroebe (RR)";"Total";"2174";"4212";"-";"6";"-";"315";"1803";"-";"-"
"MU";"1400282";"Iracema (RR)";"Total";"3098";"2672";"-";"3";"673";"233";"1206";"16";"25"
"MU";"1400308";"Mucajaí (RR)";"Total";"6465";"4480";"18";"6";"187";"393";"2910";"-";"6"
"MU";"1400407";"Normandia (RR)";"Total";"5117";"3364";"-";"-";"383";"350";"378";"25";"-"
"MU";"1400456";"Pacaraima (RR)";"Total";"5031";"5740";"47";"11";"15";"1170";"1497";"-";"661"
"MU";"1400472";"Rorainópolis (RR)";"Total";"9989";"10156";"79";"10";"374";"586";"4997";"-";"10"
"MU";"1400506";"São João da Baliza (RR)";"Total";"2104";"2990";"22";"4";"-";"264";"1745";"-";"20"
"MU";"1400605";"São Luiz (RR)";"Total";"2687";"1963";"-";"5";"-";"284";"1023";"-";"9"
"MU";"1400704";"Uiramutã (RR)";"Total";"5914";"1862";"5";"-";"122";"924";"29";"-";"23"
"MU";"1500107";"Abaetetuba (PA)";"Total";"79666";"43819";"244";"171";"-";"2887";"6154";"10";"301"
"MU";"1500131";"Abel Figueiredo (PA)";"Total";"2627";"1862";"-";"-";"-";"108";"521";"-";"-"
"MU";"1500206";"Acará (PA)";"Total";"22357";"22061";"-";"31";"8";"369";"3875";"-";"43"
"MU";"1500305";"Afuá (PA)";"Total";"21119";"7052";"-";"43";"-";"49";"1088";"-";"5"
"MU";"1500347";"Água Azul do Norte (PA)";"Total";"9521";"4716";"10";"22";"133";"74";"270";"-";"25"
"MU";"1500404";"Alenquer (PA)";"Total";"38349";"14150";"-";"15";"10";"408";"2264";"29";"143"
"MU";"1500503";"Almeirim (PA)";"Total";"16853";"8783";"28";"19";"7";"476";"1177";"-";"75"
"MU";"1500602";"Altamira (PA)";"Total";"46284";"40125";"424";"444";"92";"4834";"12097";"38";"183"
"MU";"1500701";"Anajás (PA)";"Total";"10783";"9574";"10";"-";"-";"134";"573";"-";"-"
"MU";"1500800";"Ananindeua (PA)";"Total";"206690";"156317";"3321";"3198";"93";"16526";"29989";"-";"383"
"MU";"1500859";"Anapu (PA)";"Total";"9956";"11085";"19";"55";"8";"596";"3619";"-";"88"
"MU";"1500909";"Augusto Corrêa (PA)";"Total";"25578";"8979";"9";"7";"-";"803";"1196";"-";"-"
"MU";"1500958";"Aurora do Pará (PA)";"Total";"13501";"5486";"9";"11";"2";"98";"439";"-";"-"
"MU";"1501006";"Aveiro (PA)";"Total";"8613";"4756";"-";"8";"297";"348";"396";"-";"-"
"MU";"1501105";"Bagre (PA)";"Total";"9297";"12499";"-";"-";"-";"299";"1321";"-";"1"
"MU";"1501204";"Baião (PA)";"Total";"33718";"8133";"-";"35";"4";"130";"1005";"-";"-"
"MU";"1501253";"Bannach (PA)";"Total";"1609";"1441";"7";"-";"3";"78";"219";"-";"-"
"MU";"1501303";"Barcarena (PA)";"Total";"45591";"46431";"293";"170";"10";"3961";"9192";"45";"153"
"MU";"1501402";"Belém (PA)";"Total";"636861";"385368";"14654";"9350";"95";"39344";"65979";"214";"910"
"MU";"1501451";"Belterra (PA)";"Total";"8705";"5235";"4";"17";"5";"202";"697";"11";"41"
"MU";"1501501";"Benevides (PA)";"Total";"23522";"24364";"48";"327";"11";"1379";"4143";"16";"39"
"MU";"1501576";"Bom Jesus do Tocantins (PA)";"Total";"6752";"5807";"-";"20";"16";"250";"2433";"-";"17"
"MU";"1501600";"Bonito (PA)";"Total";"8287";"2280";"6";"19";"-";"46";"106";"-";"5"
"MU";"1501709";"Bragança (PA)";"Total";"67583";"31088";"63";"135";"-";"1177";"3355";"147";"21"
"MU";"1501725";"Brasil Novo (PA)";"Total";"10215";"8195";"7";"-";"-";"166";"2087";"-";"30"
"MU";"1501758";"Brejo Grande do Araguaia (PA)";"Total";"3186";"2065";"4";"4";"7";"84";"247";"-";"77"
"MU";"1501782";"Breu Branco (PA)";"Total";"15034";"15816";"69";"15";"-";"466";"5942";"28";"74"
"MU";"1501808";"Breves (PA)";"Total";"47196";"29920";"2";"50";"19";"970";"5009";"-";"3"
"MU";"1501907";"Bujaru (PA)";"Total";"11259";"7593";"-";"-";"-";"261";"928";"-";"36"
"MU";"1501956";"Cachoeira do Piriá (PA)";"Total";"9658";"5380";"-";"23";"-";"55";"882";"15";"6"
"MU";"1502004";"Cachoeira do Arari (PA)";"Total";"10645";"7673";"-";"37";"9";"562";"900";"-";"-"
"MU";"1502103";"Cametá (PA)";"Total";"77834";"27589";"78";"73";"-";"884";"4888";"14";"8"
"MU";"1502152";"Canaã dos Carajás (PA)";"Total";"24876";"28962";"132";"250";"-";"2843";"5743";"12";"-"
"MU";"1502202";"Capanema (PA)";"Total";"41365";"15809";"85";"43";"-";"1111";"2228";"-";"32"
"MU";"1502301";"Capitão Poço (PA)";"Total";"36049";"10082";"43";"39";"30";"313";"1444";"-";"-"
"MU";"1502400";"Castanhal (PA)";"Total";"91969";"59358";"730";"480";"16";"3913";"8301";"12";"164"
"MU";"1502509";"Chaves (PA)";"Total";"10017";"5334";"-";"-";"-";"255";"546";"-";"-"
"MU";"1502608";"Colares (PA)";"Total";"7083";"3078";"22";"42";"-";"91";"549";"-";"-"
"MU";"1502707";"Conceição do Araguaia (PA)";"Total";"21069";"13177";"45";"50";"-";"534";"3064";"-";"93"
"MU";"1502756";"Concórdia do Pará (PA)";"Total";"11225";"9314";"-";"-";"-";"166";"1356";"-";"7"
"MU";"1502764";"Cumaru do Norte (PA)";"Total";"4048";"4669";"5";"5";"232";"63";"2120";"-";"11"
"MU";"1502772";"Curionópolis (PA)";"Total";"7493";"6441";"6";"41";"3";"199";"2203";"-";"-"
"MU";"1502806";"Curralinho (PA)";"Total";"15396";"10548";"-";"29";"-";"404";"375";"-";"-"
"MU";"1502855";"Curuá (PA)";"Total";"8392";"2781";"-";"-";"-";"145";"167";"-";"16"
"MU";"1502905";"Curuçá (PA)";"Total";"22636";"10543";"74";"76";"-";"808";"1109";"220";"14"
"MU";"1502939";"Dom Eliseu (PA)";"Total";"23624";"15637";"17";"91";"-";"899";"8193";"-";"1"
"MU";"1502954";"Eldorado do Carajás (PA)";"Total";"9118";"8867";"11";"41";"-";"2286";"2850";"-";"7"
"MU";"1503002";"Faro (PA)";"Total";"5428";"1446";"2";"-";"-";"64";"203";"-";"-"
"MU";"1503044";"Floresta do Araguaia (PA)";"Total";"8199";"5979";"-";"8";"12";"233";"518";"-";"13"
"MU";"1503077";"Garrafão do Norte (PA)";"Total";"16304";"3825";"-";"-";"-";"201";"178";"-";"128"
"MU";"1503093";"Goianésia do Pará (PA)";"Total";"10502";"9175";"-";"-";"-";"691";"1437";"-";"55"
"MU";"1503101";"Gurupá (PA)";"Total";"18255";"6245";"-";"1";"-";"227";"304";"-";"78"
"MU";"1503200";"Igarapé-Açu (PA)";"Total";"21080";"8064";"32";"26";"-";"287";"1069";"9";"26"
"MU";"1503309";"Igarapé-Miri (PA)";"Total";"22751";"24368";"-";"56";"-";"666";"6111";"-";"56"
"MU";"1503408";"Inhangapi (PA)";"Total";"5340";"2615";"20";"-";"-";"114";"534";"-";"-"
"MU";"1503457";"Ipixuna do Pará (PA)";"Total";"14656";"8074";"-";"-";"-";"162";"1469";"-";"14"
"MU";"1503507";"Irituia (PA)";"Total";"16136";"8442";"9";"12";"-";"353";"1110";"12";"117"
"MU";"1503606";"Itaituba (PA)";"Total";"49078";"33755";"158";"311";"6";"1942";"16272";"11";"20"
"MU";"1503705";"Itupiranga (PA)";"Total";"26140";"12271";"-";"74";"17";"538";"2218";"-";"18"
"MU";"1503754";"Jacareacanga (PA)";"Total";"8741";"6781";"-";"24";"388";"395";"1279";"-";"15"
"MU";"1503804";"Jacundá (PA)";"Total";"16665";"11174";"55";"44";"-";"466";"3193";"-";"69"
"MU";"1503903";"Juruti (PA)";"Total";"23928";"14625";"55";"-";"-";"835";"830";"-";"84"
"MU";"1504000";"Limoeiro do Ajuru (PA)";"Total";"11760";"9999";"-";"24";"-";"643";"1656";"-";"-"
"MU";"1504059";"Mãe do Rio (PA)";"Total";"19191";"7920";"12";"21";"-";"262";"1468";"-";"-"
"MU";"1504109";"Magalhães Barata (PA)";"Total";"4390";"2247";"-";"-";"-";"30";"255";"-";"-"
"MU";"1504208";"Marabá (PA)";"Total";"103384";"81830";"603";"480";"39";"7264";"28256";"160";"425"
"MU";"1504307";"Maracanã (PA)";"Total";"12490";"8189";"19";"25";"-";"89";"1427";"-";"11"
"MU";"1504406";"Marapanim (PA)";"Total";"14742";"6806";"10";"18";"-";"359";"782";"29";"-"
"MU";"1504422";"Marituba (PA)";"Total";"46693";"38889";"114";"761";"5";"2233";"6534";"-";"142"
"MU";"1504455";"Medicilândia (PA)";"Total";"10686";"9700";"-";"-";"-";"377";"1651";"-";"-"
"MU";"1504505";"Melgaço (PA)";"Total";"9411";"9629";"-";"-";"-";"98";"1851";"-";"-"
"MU";"1504604";"Mocajuba (PA)";"Total";"12557";"9061";"9";"10";"-";"131";"890";"1";"-"
"MU";"1504703";"Moju (PA)";"Total";"26157";"29486";"-";"222";"19";"870";"11632";"-";"175"
"MU";"1504752";"Mojuí dos Campos (PA)";"Total";"12253";"6248";"-";"50";"-";"264";"812";"-";"-"
"MU";"1504802";"Monte Alegre (PA)";"Total";"30166";"17077";"14";"68";"-";"873";"1819";"-";"-"
"MU";"1504901";"Muaná (PA)";"Total";"23196";"11566";"-";"10";"-";"1246";"379";"-";"-"
"MU";"1504950";"Nova Esperança do Piriá (PA)";"Total";"9178";"7111";"-";"-";"-";"9";"293";"-";"-"
"MU";"1504976";"Nova Ipixuna (PA)";"Total";"6682";"4200";"30";"5";"-";"115";"606";"-";"15"
"MU";"1505007";"Nova Timboteua (PA)";"Total";"8678";"2199";"4";"10";"-";"108";"224";"-";"7"
"MU";"1505031";"Novo Progresso (PA)";"Total";"16856";"7636";"36";"47";"11";"815";"2088";"-";"51"
"MU";"1505064";"Novo Repartimento (PA)";"Total";"22795";"20754";"9";"83";"5";"1634";"4461";"38";"16"
"MU";"1505106";"Óbidos (PA)";"Total";"29045";"11021";"22";"71";"250";"751";"1662";"28";"42"
"MU";"1505205";"Oeiras do Pará (PA)";"Total";"16783";"9503";"-";"21";"-";"235";"674";"-";"-"
"MU";"1505304";"Oriximiná (PA)";"Total";"32274";"17319";"63";"157";"-";"1056";"4180";"-";"13"
"MU";"1505403";"Ourém (PA)";"Total";"11306";"3340";"37";"2";"-";"51";"417";"-";"-"
"MU";"1505437";"Ourilândia do Norte (PA)";"Total";"10134";"12187";"25";"54";"168";"1173";"2423";"-";"280"
"MU";"1505486";"Pacajá (PA)";"Total";"16320";"14108";"-";"53";"-";"913";"1995";"-";"-"
"MU";"1505494";"Palestina do Pará (PA)";"Total";"3132";"1732";"7";"-";"-";"48";"817";"-";"2"
"MU";"1505502";"Paragominas (PA)";"Total";"37833";"35661";"158";"105";"90";"1724";"11591";"439";"511"
"MU";"1505536";"Parauapebas (PA)";"Total";"85424";"95907";"991";"356";"165";"9790";"27572";"135";"184"
"MU";"1505551";"Pau D'Arco (PA)";"Total";"3008";"2137";"3";"-";"-";"109";"513";"-";"-"
"MU";"1505601";"Peixe-Boi (PA)";"Total";"5562";"1473";"12";"-";"-";"46";"126";"-";"-"
"MU";"1505635";"Piçarra (PA)";"Total";"6603";"2822";"15";"6";"-";"284";"797";"-";"55"
"MU";"1505650";"Placas (PA)";"Total";"7285";"5889";"13";"-";"-";"261";"1966";"-";"-"
