"Nível";"Cód.";"Brasil e Município";"Grupo de idade";"Católica Apostólica Romana";"Evangélicas";"Espírita";"Umbanda e Candomblé";"Tradições indígenas";"Outras religiosidades";"Sem religião";"Não sabe";"Sem declaração"
"MU";"3519006";"Herculândia (SP)";"Total";"4000";"3340";"18";"21";"-";"243";"377";"-";"-"
"MU";"3519055";"Holambra (SP)";"Total";"8453";"2560";"275";"88";"5";"258";"1586";"-";"-"
"MU";"3519071";"Hortolândia (SP)";"Total";"83854";"81706";"2131";"2097";"10";"12158";"24008";"42";"353"
"MU";"3519105";"Iacanga (SP)";"Total";"5361";"3280";"30";"67";"-";"160";"271";"-";"11"
"MU";"3519204";"Iacri (SP)";"Total";"3486";"1681";"28";"15";"-";"50";"179";"-";"11"
"MU";"3519253";"Iaras (SP)";"Total";"3703";"2877";"102";"-";"-";"97";"443";"-";"-"
"MU";"3519303";"Ibaté (SP)";"Total";"14013";"9826";"115";"120";"36";"678";"3043";"-";"54"
"MU";"3519402";"Ibirá (SP)";"Total";"6671";"2307";"344";"26";"-";"354";"633";"-";"4"
"MU";"3519501";"Ibirarema (SP)";"Total";"3447";"1545";"7";"3";"-";"208";"387";"-";"19"
"MU";"3519600";"Ibitinga (SP)";"Total";"31441";"15372";"827";"529";"-";"1850";"2588";"-";"22"
"MU";"3519709";"Ibiúna (SP)";"Total";"34196";"20153";"904";"215";"-";"3423";"6383";"-";"106"
"MU";"3519808";"Icém (SP)";"Total";"4811";"1395";"260";"23";"-";"164";"317";"4";"27"
"MU";"3519907";"Iepê (SP)";"Total";"4470";"1982";"22";"-";"-";"135";"121";"4";"-"
"MU";"3520004";"Igaraçu do Tietê (SP)";"Total";"12737";"5689";"179";"33";"-";"585";"935";"226";"42"
"MU";"3520103";"Igarapava (SP)";"Total";"14204";"4601";"1536";"303";"-";"341";"2193";"-";"-"
"MU";"3520202";"Igaratá (SP)";"Total";"6006";"2438";"100";"81";"-";"214";"424";"-";"-"
"MU";"3520301";"Iguape (SP)";"Total";"10583";"9754";"359";"120";"151";"1282";"3426";"10";"-"
"MU";"3520400";"Ilhabela (SP)";"Total";"14486";"8255";"822";"444";"8";"2510";"3977";"10";"5"
