uf;municipio;lat;long;population;catolica-apostolica-romana;evangelicas;espirita;umbanda-e-candomble;tradicoes-indigenas;outras-religiosidades;sem-religiao;nao-sabe;sem-declaracao
RO;Alto Paraíso;-9.7166667381;-63.3176294335;13903;50.176;37.74;0.633;0.259;0.0;1.518;9.012;0.0;0.662
RO;Buritis;-10.2098054072;-63.8296787918;23708;37.148;45.546;0.316;0.084;0.0;1.907;14.999;0.0;0.0
RO;Novo Horizonte do Oeste;-11.70974292;-61.9943876628;6691;50.052;43.626;0.0;0.0;0.0;0.837;5.41;0.0;0.075
RO;Cacaulândia;-10.3388728394;-62.9031899346;3545;49.252;35.684;0.0;0.0;0.0;1.834;13.145;0.0;0.085
RO;Campo Novo de Rondônia;-10.5684164693;-63.6249914265;7517;41.227;46.934;0.186;0.186;0.0;2.74;8.727;0.0;0.0
RO;Candeias do Jamari;-8.7850207035;-63.7000200718;18591;34.205;45.856;0.446;0.054;0.21;3.652;15.352;0.0;0.226
RO;Castanheiras;-11.4268422255;-61.9491611965;2805;50.303;36.399;0.0;0.107;0.0;2.389;10.695;0.107;0.0
RO;Chupinguaia;-12.5568407611;-60.90184775;7773;46.134;37.103;0.129;0.0;0.013;1.299;15.322;0.0;0.0
RO;Cujubim;-9.3781933991;-62.5871745319;12356;34.388;40.636;0.057;0.057;0.0;2.792;22.07;0.0;0.0
RO;Governador Jorge Teixeira;-10.6120717726;-62.7404576395;6863;54.189;34.475;0.16;0.058;1.093;1.69;7.854;0.087;0.393
RO;Itapuã do Oeste;-9.1918716753;-63.1823370165;7092;32.967;40.525;0.183;0.268;0.0;2.27;23.576;0.0;0.212
RO;Ministro Andreazza;-11.1962379842;-61.5189219301;5720;49.301;41.696;0.0;0.0;0.0;1.224;7.675;0.0;0.105
RO;Mirante da Serra;-11.0456092899;-62.6694270953;8019;41.327;44.02;0.0;0.0;1.347;1.621;11.622;0.0;0.062
RO;Monte Negro;-10.2630977559;-63.2955591672;9942;43.05;42.265;0.111;0.06;0.0;1.74;12.774;0.0;0.0
RO;Nova União;-10.9155320417;-62.5550893989;5410;50.961;38.17;0.0;0.037;0.0;0.961;9.871;0.0;0.0
RO;Parecis;-12.1798270507;-61.5979979727;3526;46.001;42.598;0.0;0.0;0.624;5.615;4.821;0.0;0.34
RO;Pimenteiras do Oeste;-13.4765620025;-61.0443790025;1800;61.444;27.889;0.0;0.0;0.5;1.444;8.722;0.0;0.0
RO;Primavera de Rondônia;-11.8257069542;-61.3165462429;2639;56.158;33.649;0.493;0.0;0.0;2.501;7.048;0.0;0.152
RO;São Felipe d'Oeste;-11.9143893547;-61.5125081133;4646;56.974;34.137;0.0;0.0;0.0;0.667;8.222;0.0;0.0
RO;São Francisco do Guaporé;-12.0637984122;-63.5708647108;13670;42.875;44.199;0.0;0.051;0.08;1.653;10.973;0.0;0.168
RO;Seringueiras;-11.7671166356;-63.0387609977;9517;49.711;40.202;0.179;0.0;0.0;0.872;8.889;0.053;0.095
RO;Teixeirópolis;-10.932169286;-62.255922254;3706;44.441;42.58;0.0;0.135;0.0;1.538;10.604;0.0;0.702
RO;Theobroma;-10.248730552;-62.3451455299;7059;44.397;39.028;0.354;0.0;0.0;2.125;14.095;0.0;0.0
RO;Urupá;-11.1285452757;-62.3706324538;9271;45.313;44.386;0.129;0.0;0.0;2.589;6.957;0.0;0.626
RO;Vale do Anari;-9.8513927081;-62.1768234421;6675;44.644;46.022;0.24;0.0;0.0;2.112;6.891;0.0;0.09
RO;Vale do Paraíso;-10.4310526846;-62.1343903568;5685;49.551;34.406;0.053;0.0;0.0;0.686;15.303;0.0;0.0
AC;Acrelândia;-10.0737938925;-67.05231658;11432;36.984;48.303;0.236;0.052;0.0;3.429;10.759;0.236;0.0
AC;Assis Brasil;-10.9428656809;-69.5634591747;6394;41.132;41.789;0.125;0.0;0.063;2.94;13.904;0.0;0.047
AC;Brasiléia;-11.0164110191;-68.747943426;21387;43.031;38.449;0.108;0.145;0.047;4.535;13.686;0.0;0.0
AC;Bujari;-9.8200196267;-67.9518592792;10627;29.199;53.515;0.508;0.188;0.0;2.964;13.579;0.0;0.047
AC;Capixaba;-10.5697677088;-67.6735079719;8595;32.542;45.829;0.268;0.0;0.0;3.851;17.51;0.0;0.0
AC;Cruzeiro do Sul;-7.630690005;-72.6725313174;75641;46.259;44.91;0.3;0.116;0.715;1.605;6.042;0.0;0.053
AC;Epitaciolândia;-11.028239828;-68.7448680667;15403;43.92;38.051;0.26;0.026;0.084;4.96;12.562;0.0;0.136
AC;Feijó;-8.16024753;-70.3539836082;27743;46.3;39.437;0.166;0.029;4.873;2.206;6.676;0.007;0.306
AC;Jordão;-9.1933578598;-71.9508751248;6629;65.183;23.789;1.116;0.0;0.015;3.862;5.28;0.0;0.754
AC;Mâncio Lima;-7.5932225939;-72.9165010261;15616;49.693;44.339;0.205;0.032;0.365;1.223;3.548;0.109;0.487
AC;Manoel Urbano;-8.8363177369;-69.2599445775;9489;30.098;52.197;0.0;0.0;0.169;1.054;16.366;0.116;0.0
AC;Marechal Thaumaturgo;-8.9535911232;-72.7902659087;13132;55.3;41.228;0.267;0.0;0.312;1.835;0.883;0.0;0.175
AC;Plácido de Castro;-10.3351332827;-67.1882600862;13637;40.551;45.076;0.044;0.103;0.0;3.439;10.787;0.0;0.0
AC;Porto Walter;-8.2666663628;-72.7423339648;8254;67.107;31.633;0.0;0.0;0.036;0.0;1.224;0.0;0.0
AC;Rio Branco;-9.9782987527;-67.8105287004;308725;30.51;47.122;0.918;0.414;0.007;6.051;14.842;0.013;0.124
AC;Rodrigues Alves;-7.7336020337;-72.6478549142;12022;44.227;49.734;0.042;0.1;0.133;1.822;3.943;0.0;0.0
AC;Santa Rosa do Purus;-9.4434065374;-70.4864968938;4809;31.108;47.702;0.125;0.042;7.361;9.378;4.284;0.0;0.0
AC;Senador Guiomard;-10.1481735862;-67.74317236;17912;37.857;47.834;0.128;0.491;0.0;3.679;9.96;0.0;0.05
AC;Sena Madureira;-9.065339505;-68.6556840617;33913;52.876;36.927;0.038;0.08;0.015;1.775;8.262;0.0;0.027
AC;Tarauacá;-8.1556685918;-70.7555010629;34011;54.823;32.833;0.688;0.029;2.202;2.302;6.965;0.0;0.156
AC;Xapuri;-10.6520719403;-68.506294805;15015;48.298;41.472;0.16;0.027;0.04;1.745;8.258;0.0;0.0
AC;Porto Acre;-9.6008582312;-67.5405900835;13729;35.567;50.426;0.422;0.211;0.0;2.222;10.314;0.0;0.838
AM;Alvarães;-3.2165837691;-64.8135346776;12114;54.994;40.961;0.041;0.0;0.0;0.784;3.013;0.157;0.05
AM;Amaturá;-3.3668051875;-68.2096146409;8068;41.001;41.311;0.0;0.074;0.359;16.237;0.992;0.0;0.025
AM;Anamã;-3.5763704269;-61.4059034798;7898;56.331;39.162;0.0;0.101;0.0;1.127;3.279;0.0;0.0
AM;Anori;-3.7453855861;-61.6589553829;13702;47.548;48.65;0.307;0.007;0.0;0.868;2.445;0.0;0.175
AM;Apuí;-7.1978701516;-59.8856661047;17050;50.616;38.029;0.035;0.0;0.0;2.065;9.161;0.094;0.0
AM;Atalaia do Norte;-4.3661574897;-70.1879892845;11295;25.843;23.984;0.089;0.097;18.61;4.161;26.197;0.0;1.018
AM;Autazes;-3.5786636418;-59.1335670918;32547;37.844;48.72;0.098;0.037;0.031;3.174;9.666;0.028;0.402
AM;Barcelos;-0.9728010525;-62.9256696581;14235;49.652;26.456;0.049;0.091;20.499;1.412;1.419;0.0;0.421
AM;Barreirinha;-2.7981498369;-57.0677504899;24247;72.162;24.358;0.033;0.033;0.0;1.856;1.415;0.0;0.144
AM;Benjamin Constant;-4.3749890186;-70.0273484333;28472;46.628;37.036;0.098;0.098;0.534;12.187;3.161;0.007;0.249
AM;Beruri;-3.8945134098;-61.3715708917;15746;41.249;51.689;0.0;0.0;0.203;2.909;3.95;0.0;0.0
AM;Boa Vista do Ramos;-2.9717265316;-57.5877073465;18773;74.559;22.863;0.107;0.085;0.0;0.858;1.497;0.032;0.0
AM;Boca do Acre;-8.7512431961;-67.3995777567;29214;41.562;44.438;0.164;0.048;0.188;3.598;9.869;0.0;0.133
