Ano,Região,Tipo de voto/Candidato,Votos
2026 - 2.ª volta,São Brás de Alportel,Voto em branco,168
2026 - 2.ª volta,Silves,Voto em branco,448
2026 - 2.ª volta,Tavira,Voto em branco,343
2026 - 2.ª volta,Vila do Bispo,Voto em branco,56
2026 - 2.ª volta,Vila Real de Santo António,Voto em branco,176
2026 - 2.ª volta,Aguiar da Beira,Voto em branco,87
2026 - 2.ª volta,Almeida,Voto em branco,74
2026 - 2.ª volta,Celorico da Beira,Voto em branco,92
2026 - 2.ª volta,Figueira de Castelo Rodrigo,Voto em branco,51
2026 - 2.ª volta,Fornos de Algodres,Voto em branco,67
2026 - 2.ª volta,Gouveia,Voto em branco,158
2026 - 2.ª volta,Guarda,Voto em branco,476
2026 - 2.ª volta,Manteigas,Voto em branco,34
2026 - 2.ª volta,Mêda,Voto em branco,44
2026 - 2.ª volta,Pinhel,Voto em branco,100
2026 - 2.ª volta,Sabugal,Voto em branco,123
2026 - 2.ª volta,Seia,Voto em branco,330
2026 - 2.ª volta,Trancoso,Voto em branco,153
2026 - 2.ª volta,Vila Nova de Foz Côa,Voto em branco,87
2026 - 2.ª volta,Estrangeiro,Voto em branco,1007
2026 - 2.ª volta,Vila do Porto,Voto em branco,85
2026 - 2.ª volta,Lagoa [R.A.A.],Voto em branco,153
2026 - 2.ª volta,Nordeste,Voto em branco,65
2026 - 2.ª volta,Ponta Delgada,Voto em branco,747
2026 - 2.ª volta,Povoação,Voto em branco,70
2026 - 2.ª volta,Ribeira Grande,Voto em branco,279
2026 - 2.ª volta,Vila Franca do Campo,Voto em branco,118
2026 - 2.ª volta,Angra do Heroísmo,Voto em branco,564
2026 - 2.ª volta,Vila da Praia da Vitória,Voto em branco,315
2026 - 2.ª volta,Santa Cruz da Graciosa,Voto em branco,94
2026 - 2.ª volta,Calheta [R.A.A.],Voto em branco,45
2026 - 2.ª volta,Velas,Voto em branco,94
2026 - 2.ª volta,Lajes do Pico,Voto em branco,98
2026 - 2.ª volta,Madalena,Voto em branco,140
2026 - 2.ª volta,São Roque do Pico,Voto em branco,61
2026 - 2.ª volta,Horta,Voto em branco,280
2026 - 2.ª volta,Lajes das Flores,Voto em branco,21
2026 - 2.ª volta,Santa Cruz das Flores,Voto em branco,22
2026 - 2.ª volta,Corvo,Voto em branco,9
2026 - 2.ª volta,Calheta [R.A.M.],Voto em branco,65
2026 - 2.ª volta,Câmara de Lobos,Voto em branco,188
2026 - 2.ª volta,Funchal,Voto em branco,739
2026 - 2.ª volta,Machico,Voto em branco,85
2026 - 2.ª volta,Ponta do Sol,Voto em branco,43
2026 - 2.ª volta,Porto Moniz,Voto em branco,28
2026 - 2.ª volta,Ribeira Brava,Voto em branco,83
2026 - 2.ª volta,Santa Cruz,Voto em branco,269
2026 - 2.ª volta,Santana,Voto em branco,41
2026 - 2.ª volta,São Vicente,Voto em branco,37
2026 - 2.ª volta,Porto Santo,Voto em branco,43
2026 - 2.ª volta,Alcobaça,Voto em branco,1065
2026 - 2.ª volta,Alvaiázere,Voto em branco,78
2026 - 2.ª volta,Ansião,Voto em branco,190
2026 - 2.ª volta,Batalha,Voto em branco,434
2026 - 2.ª volta,Bombarral,Voto em branco,241
2026 - 2.ª volta,Caldas da Rainha,Voto em branco,627
2026 - 2.ª volta,Castanheira de Pêra,Voto em branco,28
2026 - 2.ª volta,Figueiró dos Vinhos,Voto em branco,63
2026 - 2.ª volta,Leiria,Voto em branco,2831
2026 - 2.ª volta,Marinha Grande,Voto em branco,530
2026 - 2.ª volta,Nazaré,Voto em branco,206
2026 - 2.ª volta,Óbidos,Voto em branco,193
2026 - 2.ª volta,Pedrógão Grande,Voto em branco,47
2026 - 2.ª volta,Peniche,Voto em branco,362
2026 - 2.ª volta,Pombal,Voto em branco,1131
2026 - 2.ª volta,Porto de Mós,Voto em branco,545
